movie_id,imdb_id,tmdb_id,rating,average_rating,title
5418,0258463,2501,3.5,3.90965,The Bourne Identity (2002)
5465,0297721,16664,2.0,3.50316,All About Lily Chou-Chou (2001)
5526,0255589,8653,1.0,3.55926,The Isle (2000)
5608,0250258,575,4.0,3.84965,The Experiment (2001)
5618,0245429,129,4.0,4.21279,Spirited Away (2001)
5673,0272338,8051,3.5,3.55018,Punch-Drunk Love (2002)
5679,0298130,565,3.5,3.34684,The Ring (2002)
5690,0095327,12477,4.0,4.10048,Grave of the Fireflies (1988)
5712,0082085,11644,3.5,3.56163,Blow Out (1981)
5816,0295297,672,3.5,3.64131,Harry Potter and the Chamber of Secrets (2002)
5893,0110308,25284,3.0,3.73403,The Last Seduction (1994)
5902,0268126,2757,3.5,3.83711,Adaptation. (2002)
5952,0167261,121,4.5,4.07279,The Lord of the Rings: The Two Towers (2002)
5954,0307901,1429,4.0,3.82217,25th Hour (2002)
5971,0096283,8392,3.0,4.15672,My Neighbor Totoro (1988)
5989,0264464,640,3.5,3.92291,Catch Me If You Can (2002)
5995,0253474,423,3.5,4.04793,The Pianist (2002)
6001,0085794,262,3.5,3.84376,The King of Comedy (1982)
6016,0317248,598,4.0,4.18251,City of God (2002)
6070,0105622,15802,2.0,3.10119,Tokyo Decadence (1992)
6214,0290673,979,3.5,3.58406,Irreversible (2002)
6377,0266543,12,4.0,3.84259,Finding Nemo (2003)
6440,0101410,290,3.5,3.82811,Barton Fink (1991)
6502,0289043,170,3.5,3.75485,28 Days Later (2002)
6530,0074811,11482,2.5,3.84451,The Tenant (1976)
6711,0335266,153,4.0,3.79485,Lost in Translation (2003)
6774,0086541,837,2.5,3.69589,Videodrome (1983)
6789,0115561,12531,3.5,3.65689,The Apartment (1996)
6803,0087909,29161,3.0,3.33068,Phenomena (1985)
6818,0091251,25237,4.0,4.06631,Come and See (1985)
6842,0068732,29449,3.5,3.43662,Images (1972)
6870,0327056,322,4.0,3.82467,Mystic River (2003)
6874,0266697,24,4.5,3.85582,Kill Bill: Vol. 1 (2003)
6890,0363589,1807,4.0,3.53589,Elephant (2003)
6975,0119167,10234,1.5,3.75313,Funny Games (1997)
6987,0010323,234,3.0,3.90371,The Cabinet of Dr. Caligari (1920)
7022,0266308,3176,3.5,3.79003,Battle Royale (2000)
7044,0100935,483,2.0,3.66388,Wild at Heart (1990)
7115,0073582,20126,2.0,3.7651,Deep Red (1975)
7116,0046911,827,3.0,3.97414,Diabolique (1955)
